UNIT,ID,SUFFIX,X,Y,CL,code,Width,Prism,Z,Length
0,1,0,86.43799999999999,38.001,1,Lithic,5,0,1202.77161,50.32
0,1,1,86.39,38.016,1,Lithic,5,0,1202.77332,50.32
0,2,0,88.661,41.285,1,Lithic,5,0,1202.71448,50.02
0,2,1,88.619,41.258,1,Lithic,5,0,1202.71155,50.02
0,3,0,81.03699999999999,31.85,1,Lithic,5,0,1202.91016,50.29
0,3,1,81.008,31.891,1,Lithic,5,0,1202.91284,50.29
0,4,0,83.777,35.569,1,Lithic,5,0,1202.87219,49.69
0,4,1,83.745,35.531,1,Lithic,5,0,1202.8713400000001,49.69
0,5,0,89.022,39.295,1,Lithic,5,0,1202.75439,50.03
0,5,1,89.022,39.345,1,Lithic,5,0,1202.75256,50.03
0,6,0,84.48200000000001,36.108000000000004,1,Lithic,5,0,1202.87598,50.16
0,6,1,84.432,36.104,1,Lithic,5,0,1202.87598,50.16
0,7,0,80.113,32.806,1,Lithic,5,0,1202.89429,50.05
0,7,1,80.138,32.849000000000004,1,Lithic,5,0,1202.8999,50.05
0,8,0,83.637,40.796,1,Lithic,5,0,1202.69067,50.06
0,8,1,83.68700000000001,40.798,1,Lithic,5,0,1202.69202,50.06
0,9,0,85.23100000000001,40.333,1,Lithic,5,0,1202.69055,50.24
0,9,1,85.182,40.342,1,Lithic,5,0,1202.6970199999998,50.24
0,10,0,82.542,35.765,1,Lithic,5,0,1202.84534,49.67
0,10,1,82.586,35.788000000000004,1,Lithic,5,0,1202.84375,49.67
0,11,0,83.031,40.376,1,Lithic,5,0,1202.7192400000001,49.93
0,11,1,83.044,40.328,1,Lithic,5,0,1202.72375,49.93
0,12,0,86.23299999999999,35.978,1,Lithic,5,0,1202.84387,50.27
0,12,1,86.19200000000001,35.949,1,Lithic,5,0,1202.84155,50.27
0,13,0,80.61399999999999,34.537,1,Lithic,5,0,1202.8803699999999,50.0
0,13,1,80.566,34.523,1,Lithic,5,0,1202.88013,50.0
0,14,0,85.954,34.72,1,Lithic,5,0,1202.91272,50.22
0,14,1,85.962,34.769,1,Lithic,5,0,1202.90515,50.22
0,16,0,84.26799999999999,37.43,1,Lithic,5,0,1202.81152,50.01
0,16,1,84.25399999999999,37.382,1,Lithic,5,0,1202.81238,50.01
0,17,0,83.56299999999999,38.051,1,Lithic,5,0,1202.84875,49.91
0,17,1,83.52600000000001,38.018,1,Lithic,5,0,1202.85449,49.91
0,18,0,85.281,37.073,1,Lithic,5,0,1202.84802,50.19
0,18,1,85.32600000000001,37.051,1,Lithic,5,0,1202.8512,50.19
0,19,0,87.735,31.061999999999998,1,Lithic,5,0,1202.7944300000001,49.96
0,19,1,87.69200000000001,31.037,1,Lithic,5,0,1202.79907,49.96
0,20,0,81.35,39.174,1,Lithic,5,0,1202.75037,50.12
0,20,1,81.367,39.221,1,Lithic,5,0,1202.74658,50.12
0,21,0,82.26,37.781,1,Lithic,5,0,1202.82678,49.69
0,21,1,82.225,37.746,1,Lithic,5,0,1202.8311800000001,49.69
0,22,0,79.875,32.585,1,Lithic,5,0,1202.89624,50.05
0,22,1,79.825,32.583,1,Lithic,5,0,1202.89734,50.05
0,23,0,87.154,36.22,1,Lithic,5,0,1202.83032,49.86
0,23,1,87.185,36.181,1,Lithic,5,0,1202.83228,49.86
0,24,0,84.54899999999999,34.851,1,Lithic,5,0,1202.8618199999999,50.43
0,24,1,84.539,34.802,1,Lithic,5,0,1202.8682900000001,50.43
0,25,0,84.17,31.509,1,Lithic,5,0,1202.90222,50.14
0,25,1,84.171,31.459,1,Lithic,5,0,1202.9057599999999,50.14
0,26,0,88.538,32.823,1,Lithic,5,0,1202.6550300000001,50.62
0,26,1,88.573,32.787,1,Lithic,5,0,1202.6485599999999,50.62
0,27,0,82.984,37.953,1,Lithic,5,0,1202.8288599999998,49.82
0,27,1,83.023,37.984,1,Lithic,5,0,1202.82947,49.82
0,28,0,86.64200000000001,40.838,1,Lithic,5,0,1202.65552,50.99
0,28,1,86.617,40.794000000000004,1,Lithic,5,0,1202.64929,50.99
0,29,0,86.28299999999999,38.964,1,Lithic,5,0,1202.72449,50.56
0,29,1,86.26299999999999,38.918,1,Lithic,5,0,1202.73083,50.56
0,30,0,85.664,34.31,1,Lithic,5,0,1202.8803699999999,49.58
0,30,1,85.615,34.317,1,Lithic,5,0,1202.8833,49.58
0,31,0,79.563,35.19,1,Lithic,5,0,1202.86719,49.87
0,31,1,79.554,35.239000000000004,1,Lithic,5,0,1202.8648699999999,49.87
0,32,0,80.821,34.722,1,Lithic,5,0,1202.84351,50.3
0,32,1,80.79899999999999,34.766999999999996,1,Lithic,5,0,1202.8388699999998,50.3
0,33,0,88.759,41.117,1,Lithic,5,0,1202.73206,50.59
0,33,1,88.73299999999999,41.074,1,Lithic,5,0,1202.7262,50.59
0,34,0,84.56,35.1,1,Lithic,5,0,1202.86401,49.91
0,34,1,84.551,35.051,1,Lithic,5,0,1202.86096,49.91
0,35,0,81.566,30.95,1,Lithic,5,0,1202.9397,50.17
0,35,1,81.59,30.994,1,Lithic,5,0,1202.93738,50.17
0,36,0,83.765,32.695,1,Lithic,5,0,1202.8877,50.32
0,36,1,83.81299999999999,32.68,1,Lithic,5,0,1202.8895300000001,50.32
0,37,0,87.352,39.268,1,Lithic,5,0,1202.6458699999998,50.16
0,37,1,87.355,39.218,1,Lithic,5,0,1202.64331,50.16
0,38,0,83.26,38.284,1,Lithic,5,0,1202.8219,49.74
0,38,1,83.24700000000001,38.332,1,Lithic,5,0,1202.82275,49.74
0,39,0,87.425,39.769,1,Lithic,5,0,1202.67151,50.33
0,39,1,87.463,39.736,1,Lithic,5,0,1202.67175,50.33
0,40,0,82.441,31.656,1,Lithic,5,0,1202.91089,49.99
0,40,1,82.458,31.703000000000003,1,Lithic,5,0,1202.91187,49.99
0,41,0,83.796,35.681999999999995,1,Lithic,5,0,1202.87158,49.81
0,41,1,83.84200000000001,35.701,1,Lithic,5,0,1202.86951,49.81
0,42,0,86.176,32.204,1,Lithic,5,0,1202.8701199999998,49.74
0,42,1,86.163,32.251999999999995,1,Lithic,5,0,1202.86914,49.74
